Date_of_visit,P.E.I.,N.S.,Que.,Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,Total
01-Mar,-4.17%,5.97%,-7.51%,-5.31%,1.05%,19.59%,5.49%,1.99%,-8.11%,-2.59%
02-Mar,23.81%,19.39%,17.68%,11.01%,15.47%,32.99%,18.45%,6.72%,52.53%,14.02%
03-Mar,-8.11%,13.85%,9.35%,2.78%,-3.03%,14.53%,9.22%,-2.14%,33.96%,5.11%
04-Mar,13.56%,6.95%,-10.04%,-8.60%,-2.68%,10.92%,-3.34%,-8.88%,12.90%,-7.33%
05-Mar,8.62%,-5.56%,-0.43%,-4.63%,3.82%,10.52%,0.91%,-5.41%,0.00%,-2.36%
06-Mar,6.06%,0.68%,-0.27%,-2.62%,2.82%,8.79%,0.13%,2.34%,44.09%,-0.51%
07-Mar,-4.11%,-8.95%,-11.70%,-9.89%,-2.25%,8.24%,-10.57%,-5.96%,8.33%,-9.37%
08-Mar,-1.45%,-2.64%,-14.93%,-10.39%,-6.70%,0.11%,-9.86%,-6.34%,-2.63%,-10.48%
09-Mar,-4.82%,10.87%,11.69%,10.54%,7.09%,11.17%,3.89%,0.39%,17.76%,8.51%
10-Mar,-16.05%,1.08%,13.15%,5.90%,15.72%,2.39%,-3.93%,-10.07%,13.00%,3.89%
11-Mar,-22.35%,-4.60%,-9.40%,-10.56%,3.32%,-5.51%,-17.40%,-13.88%,10.00%,-11.17%
12-Mar,-20.48%,-19.41%,-8.11%,-3.89%,8.76%,3.09%,-12.75%,-4.93%,37.23%,-6.28%
13-Mar,-32.58%,-24.73%,-15.40%,-7.76%,-0.22%,-13.51%,-19.47%,-7.48%,16.13%,-11.78%
14-Mar,-18.92%,-25.43%,-25.78%,-20.57%,-14.11%,-17.84%,-27.50%,-17.67%,-9.90%,-22.50%
15-Mar,-32.89%,-17.13%,-28.97%,-23.99%,-17.51%,-7.83%,-28.78%,-20.14%,-33.88%,-24.97%
16-Mar,-24.59%,-20.86%,-11.39%,-15.64%,-6.13%,-14.66%,-23.13%,-21.41%,19.75%,-16.38%
17-Mar,-41.18%,-27.36%,-22.32%,-25.87%,-16.80%,-32.50%,-35.04%,-33.57%,-10.10%,-27.45%
18-Mar,-44.83%,-34.38%,-38.65%,-37.25%,-34.23%,-38.41%,-41.26%,-37.40%,-12.50%,-38.08%
